"","time","compound","substrate"
"1",4,"ISTD",1
"2",10,"ISTD",1
"3",20,"ISTD",1
"4",30,"ISTD",1
"5",4,"ISTD",2
"6",10,"ISTD",2
"7",20,"ISTD",2
"8",30,"ISTD",2
"9",4,"ISTD",3
"10",10,"ISTD",3
"11",20,"ISTD",3
"12",30,"ISTD",3
"13",4,"ISTD",4
"14",10,"ISTD",4
"15",20,"ISTD",4
"16",30,"ISTD",4
"17",4,"ISTD",5
"18",10,"ISTD",5
"19",20,"ISTD",5
"20",30,"ISTD",5
"21",4,"ISTD",6
"22",10,"ISTD",6
"23",20,"ISTD",6
"24",30,"ISTD",6
"25",4,"ISTD",7
"26",10,"ISTD",7
"27",20,"ISTD",7
"28",30,"ISTD",7
"29",4,"ISTD",8
"30",10,"ISTD",8
"31",20,"ISTD",8
"32",30,"ISTD",8
"33",4,"ISTD",9
"34",10,"ISTD",9
"35",20,"ISTD",9
"36",30,"ISTD",9
"37",4,"ISTD",10
"38",10,"ISTD",10
"39",20,"ISTD",10
"40",30,"ISTD",10
"41",4,"ISTD",11
"42",10,"ISTD",11
"43",20,"ISTD",11
"44",30,"ISTD",11
"45",4,"ISTD",12
"46",10,"ISTD",12
"47",20,"ISTD",12
"48",30,"ISTD",12
"49",4,"ISTD",13
"50",10,"ISTD",13
"51",20,"ISTD",13
"52",30,"ISTD",13
"53",4,"ISTD",14
"54",10,"ISTD",14
"55",20,"ISTD",14
"56",30,"ISTD",14
"57",4,"ISTD",15
"58",10,"ISTD",15
"59",20,"ISTD",15
"60",30,"ISTD",15
"61",4,"ISTD",16
"62",10,"ISTD",16
"63",20,"ISTD",16
"64",30,"ISTD",16
"65",4,"ISTD",17
"66",10,"ISTD",17
"67",20,"ISTD",17
"68",30,"ISTD",17
