substrate,name,type
S.1,ethyl,aliphatic
S.2,propyl,aliphatic
S.3,butyl,aliphatic
S.4,benzyl,aromatic
S.5,homobenzyl,aromatic
S.6,2-amino-2-carboxy-ethyl,misc
S.7,2-amino-2-oxoethyl,misc
S.8,2-oxopropyl,misc
S.9,allyl,allylic
S.10,but-2-enyl,allylic
S.11,pent-2-enyl,allylic
S.12,propargyl,propargylic
S.13,cyanomethyl,misc
S.14,homopropargyl,misc
S.15,pent-4-ynyl,propargylic
S.16,but-2-ynyl,propargylic
S.17,pent-2-ynyl,propargylic
S.18,4-amino-but-2-ynyl,propargylic
S.19,4-(4-amino-butanamido)-but-2-ynyl,propargylic
S.20,6-amino-hex-2-ynyl,propargylic
S.21,6-(4-amino-butanamido)-hex-2-ynyl,propargylic
S.22,"oct-2,7-diynyl",propargylic
S.23,6-azido-hex-2-ynyl,propargylic
S.24,Pent-2-en-4-ynyl,allylic
S.25,hex-2-en-5-ynyl,allylic
S.26,4-(pro-2-yn-1-yloxi)-but-2-enyl,allylic
S.27,Se-methyl,Se-derivative
S.28,Se-propargyl,Se-derivative
S.29,N-2-iodoethyl,N-derivative
